,Unnamed: 0,M,S,P,V,y
0,67,D,C,3,2,1.2999974
1,27,A,E,4,2,0.46875226
2,101,A,E,3,2,4.499986
3,73,A,E,6,5,0.5062525
4,77,B,B,3,1,4.499986
5,140,E,E,4,2,0.5062525
6,144,A,C,3,1,3.899964
7,10,B,E,6,5,0.46875226
8,150,B,A,5,4,0.8062545999999999
9,131,D,C,4,3,0.5437528
10,163,B,E,3,1,3.6999667
11,61,E,A,5,4,0.58125305
12,45,A,B,4,3,1.0312537
13,80,E,A,3,1,7.100107700000001
14,113,B,A,4,3,1.068751
15,154,A,D,4,1,0.2437507
16,2,D,D,4,3,0.35625148
17,108,E,B,6,5,0.431252
18,12,B,C,4,1,0.28125095
19,9,D,A,4,1,1.0312537
20,112,C,D,6,5,0.46875226
21,71,D,A,4,2,0.28125095
22,79,E,D,3,2,1.2999974
23,96,E,D,3,1,0.9000011
24,76,E,C,4,1,0.28125095
25,149,E,A,4,1,0.88125515
