,Unnamed: 0,M,S,P,V,C
0,114,5,1,4,3,1.2187401000000002
1,21,1,4,4,3,1.1062483
2,122,3,1,5,1,0.5437528
3,34,3,3,6,5,0.5062525
4,74,1,3,4,1,0.35625148
5,85,2,5,5,4,0.46875226
6,57,2,4,4,3,1.0312537
7,52,2,5,3,2,4.6999955
8,95,1,4,6,5,0.5062525
9,43,2,4,4,1,0.2437507
10,51,3,2,3,2,4.499986
11,33,3,1,6,2,0.5437528
12,145,5,3,3,2,1.4999949
13,118,5,1,4,2,0.99375594
14,69,2,4,4,2,0.39375174
15,161,3,5,6,5,0.46875226
16,54,2,2,4,2,0.7312541
17,157,1,2,3,1,4.6999955
18,41,3,2,4,3,0.88125515
19,115,1,1,4,1,0.8437549000000001
20,127,4,1,5,4,0.431252
21,81,1,3,6,5,0.5062525
22,17,2,3,5,4,0.46875226
